message,Y
worldcom boss  left books alone  former worldcom boss bernie ebbers  who is accused of overseeing an $11bn (£5,1
s korean credit card firm rescued south korea s largest credit card firm has averted liquidation following a one trillion won ($960m; £499m) bail-out,1
japanese banking battle at an end japan s sumitomo mitsui financial has withdrawn its takeover offer for rival bank ufj holdings  enabling the latter to merge with mitsubishi tokyo,1
insurance bosses plead guilty another three us insurance executives have pleaded guilty to fraud charges stemming from an ongoing investigation into industry malpractice,1
german growth goes into reverse germany s economy shrank 0,1
stock market eyes japan recovery japanese shares have ended the year at their highest level since 13 july amidst hopes of an economic recovery during 2005,1
standard life cuts policy bonuses standard life  europe s largest mutual life insurer  has cut bonuses for with-profit policyholders,1
pernod takeover talk lifts domecq shares in uk drinks and food firm allied domecq have risen on speculation that it could be the target of a takeover by france s pernod ricard,1
telegraph newspapers axe 90 jobs the daily and sunday telegraph newspapers are axing 90 journalist jobs - 17% of their editorial staff,1
court rejects $280bn tobacco case a us government claim accusing the country s biggest tobacco companies of covering up the effects of smoking has been thrown out by an appeal court,1
india power shares jump on debut shares in india s largest power producer  national thermal power corp (ntpc) have risen 13% on their stock market debut,1
indonesia  declines debt freeze  indonesia no longer needs the debt freeze offered by the paris club group of creditors  economics minister aburizal bakrie has reportedly said,1
call to save manufacturing jobs the trades union congress (tuc) is calling on the government to stem job losses in manufacturing firms by reviewing the help it gives companies,1
khodorkovsky ally denies charges a close associate of former yukos boss mikhail khodorkovsky has told a court that fraud charges levelled against him are  false ,1
chinese dam firm  defies beijing  the china three gorges project corp is refusing to obey a government order to stop construction of one of its giant dams  the chinese state press has said,1
bank set to leave rates on hold uk interest rates are set to remain on hold at 4,1
us trade gap hits record in 2004 the gap between us exports and imports hit an all-time high of $671,1
safety alert as gm recalls cars the world s biggest carmaker general motors (gm) is recalling nearly 200 000 vehicles in the us on safety grounds  according to federal regulators,1
profits slide at india s dr reddy profits at indian drugmaker dr reddy s fell 93% as research costs rose and sales flagged,1
us crude prices surge above $53 us crude prices have soared to fresh four-month highs above $53 in the us as refinery problems propelled petrol prices to an all-time high,1
dollar hovers around record lows the us dollar hovered close to record lows against the euro on friday as concern grows about the size of the us budget deficit,1
rich grab half colombia poor fund half of the money put aside by the colombian government to help the country s poor is benefiting people who do not need it  a study has found,1
