message,Y
Thousands of Central Board of Secondary Education  CBSE  and Council for the Indian School Certifica,1
The number of exam centres has been increased by 40 50 per cent to ensure students are safe We are a,1
Covid vaccination is under way in the country  but target beneficiaries currently only include healt,1
The prospect of taking CBSE and ICSE board exams offline in examination centres against the backdrop,1
The Indian Institute of Technology Delhi  IIT D  has developed a device that provides dengue test re,1
IIT Mandi researchers have developed algorithms to predict the functioning of internal combustion  I,1
IIIT Hyderabad researchers unveiled a working prototype of a  shape shifting  drone  Elasticopter  t,1
Reverting the old format for the common admission form  the Delhi University has decided to provide,1
The UGC today said that the 2020 21 academic session will commence for old students from August 1  w,1
First year classes will begin in colleges from November 1  Union Education Minister Ramesh Pokhriyal,1
None of the Delhi University colleges managed to get the highest grade  A++  in the quality assessme,1
The HRD Ministry has approved a fee hike for all 31 National Institutes of Technology from ₹70 000,1
The National Institute of Technology  NIT Kurukshetra  issued a circular last week  asking its stude,1
NITs  National Institutes of Technology  may scrap giving weightage to board examination marks and o,1
edureka! with E&ICT Academy  NIT Warangal has started admission to new batch of PGP in Artificial In,1
NIT Trichy s annual cultural fest  Festember  will be organised this year from September 21 24 With,1
IIT Hyderabad researchers have developed a dual carbon alternative to conventional lithium ion batte,1
As many as five PSUs including ONGC have registered for placements at the Indian Institute of Techno,1
An alumnus of the Indian Institute of Technology  IIT  Delhi has donated ₹1 crore for the creation,1
IIT Kanpur has terminated 60 students  including 46 undergraduates  eight postgraduates and six rese,1
On the first day of this year s placement season at IITs  Facebook Monday offered a whopping Rs 1  5,1
Researchers at the Indian Institute of Technology  IIT  Kharagpur have created a technology to gener,1
BITS Pilani students have been protesting in the Pilani  Hyderabad and Goa campuses against the admi,1
This is to inform all affiliated colleges to ensure that exams for the first year batch of 2020 21,1
Grading of the students for end  external semester examinations to be composite of 50% marks on the,1
The grading  assessment for students having re appear s  to be done along with the,1
grading  assessment of regular students on similar lines,1
OS Class will be on Monday at 11:35 am instead of the regular timings,1
Important: All those who have filled the Superset form need not fill it again Placement cell will co,1
The students of 2na semester of all B Tech programmes may complete registration process of,1
2nd semester as per above schedule  if the same is pending The last date of registration will not be,1
extended further in any case  therefore  the students are advised to adhere the revised last date fo,1
The Open Elective course has been provisionally,1
allotted to the students on the basis of choices and CGPA up to 6th semester The list of students pr,1
Notification  Academic  Notification & also uploaded on announcement for information and,1
necessary action,1
Any query  discrepancy in the allotment of Open Elective may be brought to the notice of Academic Se,1
Entertained,1
Marks as obtained in the first sessional to be considered for the second  sessional,1
ln case  a student has not appeared in first  sessional  the marks to be awarded based on online  of,1
The benefit of assignments  etc be also given to the students who have appeared in first  sessional,1
Marks as obtained in the first endsem sessional to be considered for the second endsem,1
ln case  a student has not appeared in first endsem  the marks to be awarded based on online  offlin,1
The benefit of assignments  etc  be also given to the students who have appeared in first endsem by,1
It is must for the student who need placement/internship support to get enrolled in respective  Goog,1
All to fill the form ASAP,1
Class in Cancelled,1
Exams to start form Monday,1
Assignment deadline extended to Monday,1
Assignment deadline extended to 12th March,1
The teacher is on leave today,1
No class to be held today,1
Class postponed to Monday,1
All to attend the meeting,1
Syllabus for the exam has been reduced,1
No lab today,1
No lab today,1
Assignment to be submitted by Tuesday,1
As per some seniors,1
a bit discussion abt the FAQs........,1
details like achievements/projects/skills etc. can be edited after enrolling too,1
but till what date or what extend is not answered by tnp!,1
they've only replied that during internship drives the editing things won't be allowed.,1
there's no limit in how many companies we can apply on-campus.,1
once a candidate is selected for an internship under a company then he/she will be declined for futu,1
It gives us immense pleasure and satisfaction to play a crucial role in organizing the first ever AI,1
In order to give you all an introduction about AI as well as to give more competition related inform,1
Do not miss this great opportunity as it would not just enhance your knowledge in AI but also give y,1
Date : 6th April,1
Time : 5:30 pm - 6:30 pm,1
the link can guide to the basics of using and filling and enrollment @superset,1
kindly enroll by today,1
If any student is still remaining to enroll at the superset platform,1
Make sure to do it before Friday,1
This form has been created on the demand of HOD.(Computer Department) Mayank Dave. It is to collect,1
Filling the form is compulsory,1
Meet link :,1
Software Engineering extra class Tomorrow 4-5 pm,1
Software Engineering Test on 2nd March 9-10 am,1
All DCN assignments to be completed by 4th March.,1
Today's class will be reschedule. Kindly convey to your batch.,1
Software Engineering and Project Management Midsem Examination:,1
Date: 9th March (Tuesday),1
Time: 11 a.m. to 12 p.m.,1
"The dataset that sir explained in the class (T1,T2 wala) is the electronic dataset.",1
Everyone please fill the international faculty feedback form asap,1
#NAME?,1
Tomorrow is the  public holiday so the test postponed to Saturday. Please convey to all. Schedule I,1
Today it will start from 3PM.. subjective pattern,1
